Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"San Fransisco, Corrientes, Argentina",3/15/2021,94.7,65.6,81.1,,97.6,0,0,0,15,103.33,,12.4,17.3,57.45,Clear
"San Fransisco, Corrientes, Argentina",3/16/2021,79.4,68.3,72.5,,,0.54,0,0,17.2,119.33,,11.4,91.3,83.33,"Rain, Overcast"
"San Fransisco, Corrientes, Argentina",3/17/2021,72.8,66.5,69.5,,,0,0,0,19.5,236.43,,11.9,95.7,80.37,Overcast
"San Fransisco, Corrientes, Argentina",3/18/2021,76.7,57.8,69.2,,,0,0,0,11.4,185,,12.4,20.7,65.14,Clear
"San Fransisco, Corrientes, Argentina",3/19/2021,85.7,58.4,75,,85.9,0,0,0,11.4,80,,12.4,48,63.25,Partially cloudy
"San Fransisco, Corrientes, Argentina",3/20/2021,90.2,66.8,74,,97.3,0.91,0,0,18.3,158.67,,8.7,69.3,84.43,"Rain, Partially cloudy"
"San Fransisco, Corrientes, Argentina",3/21/2021,73.7,64.5,69.4,,,0.05,0,0,13.9,190,,9.6,90,84.2,"Rain, Overcast"
"San Fransisco, Corrientes, Argentina",3/22/2021,80.3,62.3,73.5,,82.2,0,0,0,9.2,139.29,,11.5,71.4,77.24,Partially cloudy
"San Fransisco, Corrientes, Argentina",3/23/2021,84.3,69.2,77.6,,86.3,0,0,0,6.9,159.29,,11.5,61.4,71.25,Partially cloudy
"San Fransisco, Corrientes, Argentina",3/24/2021,87.2,68.1,78.3,,91.4,0,0,0,15,82,,12.4,48,72.66,Partially cloudy
"San Fransisco, Corrientes, Argentina",3/25/2021,94.7,72.8,84.9,,100.5,0,0,0,16.1,179.33,,12.4,83.3,64.5,Overcast
"San Fransisco, Corrientes, Argentina",3/26/2021,77.3,68.6,71.9,,,0.2,0,0,17.2,225.33,,9.5,96.7,90.57,"Rain, Overcast"
"San Fransisco, Corrientes, Argentina",3/27/2021,71.9,66.3,68.9,,,0,0,0,12.8,207.14,,12.4,87.9,86.53,Overcast
"San Fransisco, Corrientes, Argentina",3/28/2021,69.9,57.3,64.4,,,0,0,0,12.8,251.43,,12.4,77.1,79.68,Overcast
"San Fransisco, Corrientes, Argentina",3/29/2021,77.1,59.1,68.9,,,0,0,0,17.2,228.46,,12.4,33.1,75.9,Partially cloudy
"San Fransisco, Corrientes, Argentina",3/30/2021,76.7,62,69.9,,,0,0,0,9.2,170,,12.4,58.6,75.22,Partially cloudy
"San Fransisco, Corrientes, Argentina",3/31/2021,78.2,60.2,70.6,,,0,0,0,6.9,142.67,,11.6,16,65.93,Clear
"San Fransisco, Corrientes, Argentina",4/1/2021,78.9,58.4,70.4,,,0,0,0,8.1,108,,12.4,19.3,63.16,Clear
"San Fransisco, Corrientes, Argentina",4/2/2021,80.9,62.7,72.2,,81.2,0,0,0,9.2,116.43,,12.4,35.7,67.98,Partially cloudy
"San Fransisco, Corrientes, Argentina",4/3/2021,83.6,61.4,73.5,,84.9,0,0,0,11.4,116.67,,12.4,15.3,69.83,Clear
"San Fransisco, Corrientes, Argentina",4/4/2021,86.6,64.7,76.9,,88.3,0,0,0,6.9,93.57,,12.4,47.9,69.14,Partially cloudy
"San Fransisco, Corrientes, Argentina",4/5/2021,78.2,70.1,73.7,,,0,0,0,17.2,161.43,,12.4,90,84.26,Overcast
"San Fransisco, Corrientes, Argentina",4/6/2021,86.6,65,78.3,,88.3,0,0,0,8.1,116,,9.7,27.3,69.73,Partially cloudy
"San Fransisco, Corrientes, Argentina",4/7/2021,89.7,67.4,79.4,,89.5,0,0,0,20.8,65,,12,6.4,61.99,Clear
"San Fransisco, Corrientes, Argentina",4/8/2021,89,66.5,79.4,,92.3,0,0,0,12.8,52.67,,10.9,66,65.87,Partially cloudy
"San Fransisco, Corrientes, Argentina",4/9/2021,89.9,73.7,80.5,,95.7,0,0,0,16.1,66.67,,12.4,85.3,69.81,Overcast
"San Fransisco, Corrientes, Argentina",4/10/2021,91.7,72.8,83.7,,97.6,0,0,0,18.3,275.71,,12.4,88.6,66.01,Overcast
"San Fransisco, Corrientes, Argentina",4/11/2021,80,62,66.3,,,0.63,0,0,21.9,245,,10.6,98.6,79.04,"Rain, Overcast"
"San Fransisco, Corrientes, Argentina",4/12/2021,75.3,55.1,67,,,0,0,0,9.2,185.33,,11,16,71.62,Clear
"San Fransisco, Corrientes, Argentina",4/13/2021,78.5,56.6,69.6,,,0,0,0,11.4,122.67,,12.4,12.7,64.47,Clear
"San Fransisco, Corrientes, Argentina",4/14/2021,80.9,58.7,71.5,,82.2,0,0,0,8.1,95.33,,12.4,34,70.59,Partially cloudy
"San Fransisco, Corrientes, Argentina",4/15/2021,83.6,65.9,75.4,,87.2,0,0,0,15,85.71,,12.4,70.7,78.45,Partially cloudy
"San Fransisco, Corrientes, Argentina",4/16/2021,81.2,67.7,73.8,,83.5,0,0,0,5.8,125,,10.8,70.7,79.47,Partially cloudy
"San Fransisco, Corrientes, Argentina",4/17/2021,83.6,64.1,74.8,,85.2,0,0,0,8.1,147.33,,11.4,42,73.2,Partially cloudy
"San Fransisco, Corrientes, Argentina",4/18/2021,81.8,62.3,73,,82.8,0,0,0,9.2,96.43,,12.4,9.3,70.28,Clear
"San Fransisco, Corrientes, Argentina",4/19/2021,82.1,60.5,70.8,,83.1,0,0,0,17.2,111.82,,12.4,1.8,72.4,Clear
